monomer_smiles,polymerisation_type,doi,medium,solvent,initiator_smiles,polymer_smiles,temperature,repeating_units,delta_h
CCCCCCCC1CCCC(=O)O1,RER,10.1021/acs.jpca.3c05870,gas,,,[*]OC(CCCCCCC)CCCC([*])=O,298.15,3.0,-0.0976
CCCCCCCC1CCCC(=O)O1,RER,10.1021/acs.jpca.3c05870,gas,,,[*]OC(CCCCCCC)CCCC([*])=O,298.15,4.0,-0.0676
CCCCCCCC1CCCC(=O)O1,RER,10.1021/acs.jpca.3c05870,gas,,,[*]OC(CCCCCCC)CCCC([*])=O,298.15,5.0,-0.0676
CCCCCCCC1CCCC(=O)O1,RER,10.1021/acs.jpca.3c05870,gas,,,[*]OC(CCCCCCC)CCCC([*])=O,298.15,6.0,-0.09238
