monomer_smiles,product_repeating_unit,product_number_of_units,initiator_smiles,temperature,pressure,solvent,solvent_conc,solvent_model,monomer_state,polymer_state,comp_method,comp_functional,comp_basis_set,comp_dispersion,comp_forcefield,delta_h,delta_s,ceiling_temperature,polymerisation_comment,polymerisation_doi,polymerisation_link,,,,,,,,,,,,
CC1(C)COC(=O)OC1,,,,,,,,,,,,,,,,-21,,,,,,,,,,,,,,,,,
CC(C(OC1C)=O)OC1=O,,,,298.15,,,,,s,s,,,,,,-22.9,-41.1,,,,,,,,,,,,,,,,
CC1CCOC(=O)C1,,,,,,,,,,,,,,,,-13.8,,,,,,,,,,,,,,,,,
CC1CCCC(O1)=O,,,,298.15,,,,,,,,,,,,-13.8,-41.2,,,,,,,,,,,,,,,,
CC1OC(=O)C(C)OC1=O,,,,,,,,,,,,,,,,-23.9,,,,,,,,,,,,,,,,,
CCCCCC1CCCC(=O)O1,,,,,,,,,,,,,,,,-17.1,,,,,,,,,,,,,,,,,
CCCCC1CCCC(O1)=O,,,,,,,,,,,,,,,,-17,,,,,,,,,,,,,,,,,
CCCCC1CCCC(=O)O1,,,,,,,,,,,,,,,,-17,,,,,,,,,,,,,,,,,
CCCC1CCCC(O1)=O,,,,,,,,,,,,,,,,-18.5,,,,,,,,,,,,,,,,,
CCCC1CCCC(=O)O1,,,,,,,,,,,,,,,,-18.5,,,,,,,,,,,,,,,,,
CC1CCOC(C1)=O,,,,,,,,,,,,,,,,-13.8,,,,,,,,,,,,,,,,,
CCC1CCCC(O1)=O,,,,,,,,,,,,,,,,-16.4,,,,,,,,,,,,,,,,,
CCC1CCCC(=O)O1,,,,,,,,,,,,,,,,-16.4,,,,,,,,,,,,,,,,,
CC(C)C1CC(=O)OC(C)C1,,,,,,,,,,,,,,,,-16.8,,,,,,,,,,,,,,,,,
CC2(c1ccccc1)COC(=O)OC2,,,,,,,,,,,,,,,,-16,,,,,,,,,,,,,,,,,
CC1SCCSC1=O,,,,,,,,,,,,,,,,-10.2,,,,,,,,,,,,,,,,,
CC1OCCOC1=O,,,,,,,,,,,,,,,,-9.85,,,,,,,,,,,,,,,,,
CC1OCCC(=O)O1,,,,,,,,,,,,,,,,-11.6,,,,,,,,,,,,,,,,,
CCC1(CC)COC(=O)OC1,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,,
CC2(C)Oc1ccccc1COC2=O,,,,,,,,,,,,,,,,-27.3,,,,,,,,,,,,,,,,,
O=C1CC(C(C)C)CCC(C)O1,,,,,,,,,l,a,,,,,,-16.8,-27.4,,,,,,,,,,,,,,,,
O=C1CCCCCO1,,,,,,,,,,,,,,,,-14,,,,,,,,,,,,,,,,,
CC1CCC(C(C)C)OC(=O)C1,,,,,,,,,,,,,,,,-16.8,,,,,,,,,,,,,,,,,
O=C1[C@@H](C(C)C)CC[C@@H](C)CO1,,,,478.15,,,,,s,s,,,,,,-18.6,-33.1,,,,,,,,,,,,,,,,
CC1CCC(OC(C1)=O)C(C)C,,,,,,,,,,,,,,,,-16.8,,,,,,,,,,,,,,,,,
O=C1NCCCCO1,,,,,,,,,,,,,,,,-40,,,,,,,,,,,,,,,,,
O=C1OCCCCCC1,,,,,,,,,,,,,,,,-19.25,,,,,,,,,,,,,,,,,
S=C1CCCCCC(O1)=O,,,,,,,,,,,,,,,,-5.14,-11,,,,,,,,,,,,,,,,
O=C1CCCCCCO1,,,,,,,,,,,,,,,,-4.6,-8,,,,,,,,,,,,,,,,
O=C1OCCCCCCC1,,,,298.15,,,,,l,he,,,,,,-19,2,,,,,,,,,,,,,,,,
O=C1CCCCCCCCO1,,,,400,,,,,l,l,,,,,,-22,12,,,,,,,,,,,,,,,,
O=C1CCCCCCCCCO1,,,,400,,,,,l,l,,,,,,-24,18,,,,,,,,,,,,,,,,
O=C1CCCCCCCCCCO1,,,,298.15,,,,,l,he,,,,,,-28,24,,,,,,,,,,,,,,,,
O=C1CCCCCCCCCCCO1,,,,400,,,,,l,l,,,,,,-19,5,,,,,,,,,,,,,,,,
O=C1CCCCCCCCCCCCO1,,,,430,,,,,l,l,,,,,,-8,26,,,,,,,,,,,,,,,,
