monomer_smiles,polymerisation_type,is_experimental,polymer_smiles,repeating_units,initiator_smiles,solvent,solvent_model,monomer_state,polymer_state,temperature,pressure,method,delta_h,delta_s,ceiling_temperature,delta_g,date,doi,url,comp_functional,comp_basis_set,comp_dispersion,comp_forcefield,comment,initial_monomer_conc,bulk_monomer_conc,dispersity,degree_of_polymerisation,number_average_molar_mass,mass_average_molar_mass
O=C1OCCCCCC1,RER,FALSE,O=C([*])CCCCCCO[*],3.00,,,,,,298.15,,dft,-8.925926532,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
S=C1CCO1,RER,FALSE,S=C([*])CCO[*],3.00,,,,,,298.15,,dft,-50.309591,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
S=C1OCCCC1,RER,FALSE,S=C([*])CCCCO[*],3.00,,,,,,298.15,,dft,-22.59146884,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1CCS1,RER,FALSE,O=C([*])CCS[*],3.00,,,,,,298.15,,dft,-34.79451005,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCCCC1,RER,FALSE,O=C([*])CCCCS[*],3.00,,,,,,298.15,,dft,2.949607905,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCCCCC1,RER,FALSE,O=C([*])CCCCCS[*],3.00,,,,,,298.15,,dft,-4.10823528,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCCCCCC1,RER,FALSE,O=C([*])CCCCCCS[*],3.00,,,,,,298.15,,dft,-17.82558528,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1CCN1[H],RER,FALSE,O=C([*])CCN([*])[H],3.00,,,,,,298.15,,dft,-64.16603024,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1N([H])CCC1,RER,FALSE,O=C([*])CCCN([*])[H],3.00,,,,,,298.15,,dft,13.82213724,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1N([H])CCCC1,RER,FALSE,O=C([*])CCCCN[*],3.00,,,,,,298.15,,dft,16.31117635,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1OCO1,RER,FALSE,O=C([*])OCO[*],3.00,,,,,,298.15,,dft,-47.506745,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1OCCO1,RER,FALSE,O=C([*])OCCO[*],3.00,,,,,,298.15,,dft,-0.167827107,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1OCCCO1,RER,FALSE,O=C([*])OCCCO[*],3.00,,,,,,298.15,,dft,-20.28836816,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1OCCCCO1,RER,FALSE,O=C([*])OCCCCO[*],3.00,,,,,,298.15,,dft,-33.04032899,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
