monomer_smiles,polymerisation_type,doi,medium,solvent,initiator_smiles,polymer_smiles,temperature,repeating_units,delta_h
O=C1CCCCCCCCCCCN1,RER,10.1021/acs.jpca.3c05870,gas,,,[*]NCCCCCCCCCCCC([*])=O,298.15,3.0,-8.63718757
O=C1CCCCCCCCCCCN1,RER,10.1021/acs.jpca.3c05870,gas,,,[*]NCCCCCCCCCCCC([*])=O,298.15,4.0,-7.482074848
O=C1CCCCCCCCCCCN1,RER,10.1021/acs.jpca.3c05870,gas,,,[*]NCCCCCCCCCCCC([*])=O,298.15,5.0,-12.95315483
O=C1CCCCCCCCCCCN1,RER,10.1021/acs.jpca.3c05870,gas,,,[*]NCCCCCCCCCCCC([*])=O,298.15,6.0,-7.351936979
